,title,publisher,date,url
36,"SKT가 그리는 초(超)시대 ""콘텐츠로 앞서간다”",이코노믹리뷰,6일 전,http://www.econovill.com/news/articleView.html?idxno=361552
37,"SKT, 보이는 AI 스피커 '누구 네모' 출시",서울파이낸스,2019.04.18.,http://www.seoulfn.com/news/articleView.html?idxno=340256
38,박정호 SKT사장 김연아와 함께 독거 어르신들의 친구 '누구' 전달,글로벌이코노믹,7일 전,http://www.g-enews.com/ko-kr/news/article/news_all/2019042215050278027f5f3fab4e_1/article.html
39,"SKT, 눈으로 보는 AI스피커 ‘누구 네모’ 선봬",IT조선,2019.04.18.,http://it.chosun.com/site/data/html_dir/2019/04/18/2019041800974.html
40,국내 최초 '스크린 AI 스피커' 내놓은 SKT...킬러콘텐츠는?,키뉴스,2019.04.18.,http://www.kinews.net/news/articleView.html?idxno=209440
41,"SKT, 지자체·사회적 기업과 함께 'ICT 돌봄 서비스' 시행",뉴스웍스,7일 전,http://www.newsworks.co.kr/news/articleView.html?idxno=354157
42,"SKT, 국내 최초 보이는 AI스피커 ‘누구 네모’ 출시",한국스포츠경제,2019.04.18.,http://www.sporbiz.co.kr/news/articleView.html?idxno=330445
43,보여주는 AI스피커 ‘누구 네모’ 23일부터 예약판매,문화일보,,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=021&aid=0002388290
44,"SKT, '월드IT쇼 2019'서 VR로봇 전투 등 5G 혁신 선봬",천지일보,6일 전,http://www.newscj.com/news/articleView.html?idxno=624628
45,"SKT, 키즈 콘텐츠 탑재…보이는 AI 스피커 '누구 네모' 출시",월요신문,2019.04.18.,http://www.wolyo.co.kr/news/articleView.html?idxno=82045
46,SKT 매장 '방과후 ICT교실'…'스마트폰·코딩' 과목 인기,아이뉴스24언론사 선정,2019.04.14.,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=031&aid=0000488754
47,"독거 어르신 2100명에게 인공지능 선물한 SKT ""사회적 가치 높인다""",이코노믹리뷰,7일 전,http://www.econovill.com/news/articleView.html?idxno=361443
48,"AI스피커, 한차원 진화…SK텔레콤 ‘디스플레이’ 장착 ‘누구 네모’ 출시",아주경제,2019.04.18.,http://www.ajunews.com/view/20190418093140491
49,"SKT, 보이는 AI 스피커 ‘누구 네모’ 출시",이투데이,2019.04.18.,http://www.etoday.co.kr/news/section/newsview.php?idxno=1746587
50,"SKT·KT, ‘월드 IT쇼 2019’ 참가…“최신 5G 제품·서비스 체험해 보세요”",폴리뉴스,6일 전,http://www.polinews.co.kr/news/article.html?no=389916
51,"[영상] SKT, 보이는 AI스피커 '누구 네모' 출시",시사저널이코노미,2019.04.19.,http://www.sisajournal-e.com/news/articleView.html?idxno=198911
